title,release_date,genre,rating,story,review,url
82년생 김지영,개봉일 : 2019-10-23,드라마,12세이상관람가,"1982년 봄에 태어나누군가의 딸이자 아내, 동료이자 엄마로2019년 오늘을 살아가는 ‘지영’(정유미).때론 어딘가 갇힌 듯 답답하기도 하지만남편 ‘대현’(공유)과 사랑스러운 딸,그리고 자주 만나지 못해도 항상 든든한 가족들이 ‘지영’에겐 큰 힘이다.하지만 언젠가부터 마치 다른 사람이 된 것처럼 말하는 ‘지영’.‘대현’은 아내가 상처 입을까 두려워 그 사실을 털어놓지 못하고‘지영’은 이런 ‘대현’에게 언제나 “괜찮다”라며 웃어 보이기만 하는데…모두가 알지만 아무도 몰랐던당신과 나의 이야기","nirvana1974
2019-12-04 18:09:44
7
여성으로 살아내야 한다는 것.
신고",http://www.cine21.com/movie/info/?movie_id=55328
82년생 김지영,개봉일 : 2019-10-23,드라마,12세이상관람가,"1982년 봄에 태어나누군가의 딸이자 아내, 동료이자 엄마로2019년 오늘을 살아가는 ‘지영’(정유미).때론 어딘가 갇힌 듯 답답하기도 하지만남편 ‘대현’(공유)과 사랑스러운 딸,그리고 자주 만나지 못해도 항상 든든한 가족들이 ‘지영’에겐 큰 힘이다.하지만 언젠가부터 마치 다른 사람이 된 것처럼 말하는 ‘지영’.‘대현’은 아내가 상처 입을까 두려워 그 사실을 털어놓지 못하고‘지영’은 이런 ‘대현’에게 언제나 “괜찮다”라며 웃어 보이기만 하는데…모두가 알지만 아무도 몰랐던당신과 나의 이야기","sonso1112
2019-11-06 14:41:20
7
공감으로 다가가, 위로의 말을 건넨다
신고",http://www.cine21.com/movie/info/?movie_id=55328
82년생 김지영,개봉일 : 2019-10-23,드라마,12세이상관람가,"1982년 봄에 태어나누군가의 딸이자 아내, 동료이자 엄마로2019년 오늘을 살아가는 ‘지영’(정유미).때론 어딘가 갇힌 듯 답답하기도 하지만남편 ‘대현’(공유)과 사랑스러운 딸,그리고 자주 만나지 못해도 항상 든든한 가족들이 ‘지영’에겐 큰 힘이다.하지만 언젠가부터 마치 다른 사람이 된 것처럼 말하는 ‘지영’.‘대현’은 아내가 상처 입을까 두려워 그 사실을 털어놓지 못하고‘지영’은 이런 ‘대현’에게 언제나 “괜찮다”라며 웃어 보이기만 하는데…모두가 알지만 아무도 몰랐던당신과 나의 이야기","thrill5
2019-11-05 22:43:37
10
여자들이 수난을 당하는 건 한국만의 문제가 아니다. 국가를 초월해서

성차를 인정치 않고 남성 중심의 세계관을 공고히 하며 여자를 남자들의

성욕 풀이 대상, 남자의 대업을 이루는 데 부차적이고 조연에만 머물게 하는

몹쓸 모습은 끔찍하게도 보편화 되어 있다.

여기에 한국엔 복지가 없다. 출산만 하더라도 남자와 여자 둘이 있어야

가능한 탄생 과정인데 과거부터 공고화 된 여성 중심의 육아관은 예나

지금이나 능력 있고 충분히 자신의 역량을 펼칠 수 있는 인재들을

사장시키는데 일등 공신이다. 여기에 한국만의 특유하다고 할 수 없는

‘어디, 여자가!’라는 시선 탓에 성차로 발생한 차별과 배제, 소외는 전반적인

삶의 질을 떨어뜨리는 것은 물론 종국적으로는 가정에 전제돼야 할 ‘행복’의

부재를 야기한다.

‘82년생 김지영’은 분명 흔한 이름에 기혼 여성으로 육아를 담당한 한국의

엄마에 해당하는 여인이다. 그런데 이 김지영(정유미)이 아프다. 자신도

모르는 사이에 자신의 족보에서 희생과 억압의 인생을 살았던

외할머니(예수정), 친모 미숙(김미경)의 입을 빌어 얘기하게 된다.

정신질환의 일종이고 분명 육아스트레스로 인한 자아상실과 육아를 하면서

외부에서 입게 된 온갖 트라우마들이 김지영을 옥죄고 편견에 시달리게

만들고 이런 편견을 거리낌 없이 차별을 조장하는 이들은 한국 특유의

타인을 판단하고 이를 확신하는 듯 비꼬는 말을 내뱉는데 주저함이 없다.

김지영은 대현(공유)와의 결혼과 함께 행복을 보장받는 듯 했으나 대현의

출신지 부산이라는 보수성이 짙은 곳에서 겪는 고통이 발생한다. 명절을

치르고 집인 서울로 출발하려는 찰나 들이닥치는 밉살맞은 시누이 집안

식구들은 명절에 음식 만들고 온갖 잡일로 착취당한 김지영에겐 반가운 게

아니라 재앙이다.

김지영의 고통이 엄청난 재앙으로 연출되는 가운데 김지영 주변의

여인들은 김지영의 가족 친모 미숙, 언니 은영(공민정), 회사 상사

김팀장(박성연), 혜수(이봉련)에게도 들이닥친다. 김지영이 가족과 자신을

바라보는 그릇된 시선에 테러를 당한다면 김팀장과 혜수의 경우

회사에서의 승진 기회를 보장받지 못하고 심지어 신체의 자유를 몰카로

박탈당하며 회의시간 전에 커피와 차를 준비해야하는 만성적인 성차의

모습으로 한국의 후진성을 전시한다.

유부녀이자 엄마인 김지영이 사는 대한민국은 여자를 종속적 요소로만

취급한다. 만성적인 성차별 문제는 전면적으로 드러나고 더구나 같이

연대해야할 여성들이 오히려 자신들의 구닥다리 세계관을 유지 고수하며

이를 사회 질서의 금과옥조로 여기는 모습은 자신들이 남자들의 시선에

길들여졌다는 사실에 대해 분노하거나 이 문제에 대해 잘못됐음을 깨닫지

못하는 한계이자 서글픈 현실이다. 특히 지영이 어렸을 적 친 할머니가

언급하는 아들을 네 명 정도 낳아야 한다거나 교대 출신의 교사로 자아가

강하고 주체적인 지영의 언니 은영에게 큰고모가 시집을 강요하는 모습은

동일한 여성이라고 하더라도 주체성이 있는 여인이 느끼는 고통과

남자들에게 길들여져 이를 맹종하는 여성들 사이에서의 갈등이라고 할 수

있다.

작품은 82년생 김지영 만의 문제가 아닌 한국 사회가 남자가 여자를

바라보는 관점, 심지어 같은 여자이지만 종속된 늙은 여인들이 남성들의

질서에서 벗어나려는 주체성 있는 젊은 여인들을 바라보는 관점 까지 현대

한국 사회가 야기한 성차가 가득한 엄연하고 끔찍한 현실을 보여주는데

최선을 다하며 공존의 미덕과 더불어 경제규모에 걸맞지 않게 복지가 없는

실상을 폭로한다.

자신의 아내를 지켜보는 대현은 따뜻하지만 소극적이다. 아내의 고통을

치유하도록 정신과를 소개해주기도 하고 최대한 시댁 식구들로부터

방패막이가 되지만 무기력한 표정과 한국 사회의 무게에 짓눌린 모습은

아내에게 자상하고 따뜻하게 대한다고 해도 만연된 문제가 일거에 해소될

리가 없다는 방증이다.

자신의 병을 대면한 지영이 결국 병원을 찾게 되고 병원의 진찰을 받으면서

커피 매장에서 자신에게 맘충이라고 한 남성에게 당당하고 떳떳하게

부당한 처사를 따지는 모습은 김지영이 한국에서 더 이상 종속된 존재가

아닌 하나의 인간이기를 선언하는 모습이다. 김지영이 병원에서 의사에게

얘기하는 것처럼 무언가가 해소되는 듯한 기분이었다는 건 한국에서

여성들을 엄청나게 옥죄고 재능을 못 쓰게 하고 복지의 부재로 출산이라는

난관을 공유하는 시선의 부재를 질타하는 것이다.

한국 현대 사회에서 보통 가정의 여인들이 ‘여인’이라는 이유 하나만으로

온갖 차별과 억압과 부당한 대우를 받는 걸 폭로하듯 썼던 소설은 영화로

관객과 조우하며 이제 후진적이고 일제 시대 때 세뇌당한 ‘현모양처’의

환상을 제거하고 유럽 중 특히 스웨덴처럼 성차가 아닌 인간이기 때문에

존엄성을 보장받아야할 복지가 보편화 되어야 한다고 까지 피력한다.

소설이나 영화 이야기가 아닌 엄연한 현실 이야기인 ‘82년생 김지영’은

인간의 무지와 악랄함, 이로 인해 야기되는 정신적, 육체적 피로의 실체를

공감케 하며 더 이상 몹쓸 한국의 모습에서 벗어나고자 하는데 사력을

다한 작품이라고 할 수 있다.
more
신고",http://www.cine21.com/movie/info/?movie_id=55328
82년생 김지영,개봉일 : 2019-10-23,드라마,12세이상관람가,"1982년 봄에 태어나누군가의 딸이자 아내, 동료이자 엄마로2019년 오늘을 살아가는 ‘지영’(정유미).때론 어딘가 갇힌 듯 답답하기도 하지만남편 ‘대현’(공유)과 사랑스러운 딸,그리고 자주 만나지 못해도 항상 든든한 가족들이 ‘지영’에겐 큰 힘이다.하지만 언젠가부터 마치 다른 사람이 된 것처럼 말하는 ‘지영’.‘대현’은 아내가 상처 입을까 두려워 그 사실을 털어놓지 못하고‘지영’은 이런 ‘대현’에게 언제나 “괜찮다”라며 웃어 보이기만 하는데…모두가 알지만 아무도 몰랐던당신과 나의 이야기","penny2003
2019-10-27 21:25:40
4
우리 지영이는 팔자가 참 기구하네
신고",http://www.cine21.com/movie/info/?movie_id=55328
82년생 김지영,개봉일 : 2019-10-23,드라마,12세이상관람가,"1982년 봄에 태어나누군가의 딸이자 아내, 동료이자 엄마로2019년 오늘을 살아가는 ‘지영’(정유미).때론 어딘가 갇힌 듯 답답하기도 하지만남편 ‘대현’(공유)과 사랑스러운 딸,그리고 자주 만나지 못해도 항상 든든한 가족들이 ‘지영’에겐 큰 힘이다.하지만 언젠가부터 마치 다른 사람이 된 것처럼 말하는 ‘지영’.‘대현’은 아내가 상처 입을까 두려워 그 사실을 털어놓지 못하고‘지영’은 이런 ‘대현’에게 언제나 “괜찮다”라며 웃어 보이기만 하는데…모두가 알지만 아무도 몰랐던당신과 나의 이야기","hwachul92
2019-10-27 14:59:41
10
2016년에 출간된 베스트셀러 소설을 영화화한 작품이라길래 책으로는 보지 못 하고 영화로 봤는데, 감동과 공감도가 매우 높았으며 마음을 울컥하게 만드는 영화였습니다! 육아로 인하여 스트레스 받는 모든 부모에게 추천하기 알맞은 영화인 것 같습니다! 다만 성별 갈등이 촉발될 거라는 점이 조금 염려됩니다! 그래도 전반적으로 볼만했으니, 별 5개 드립니다!!
more
신고",http://www.cine21.com/movie/info/?movie_id=55328
82년생 김지영,개봉일 : 2019-10-23,드라마,12세이상관람가,"1982년 봄에 태어나누군가의 딸이자 아내, 동료이자 엄마로2019년 오늘을 살아가는 ‘지영’(정유미).때론 어딘가 갇힌 듯 답답하기도 하지만남편 ‘대현’(공유)과 사랑스러운 딸,그리고 자주 만나지 못해도 항상 든든한 가족들이 ‘지영’에겐 큰 힘이다.하지만 언젠가부터 마치 다른 사람이 된 것처럼 말하는 ‘지영’.‘대현’은 아내가 상처 입을까 두려워 그 사실을 털어놓지 못하고‘지영’은 이런 ‘대현’에게 언제나 “괜찮다”라며 웃어 보이기만 하는데…모두가 알지만 아무도 몰랐던당신과 나의 이야기","sjy8872
2019-10-24 14:45:22
9
나와 너와 그리고 모두의 이야기.
신고",http://www.cine21.com/movie/info/?movie_id=55328
가버나움,개봉일 : 2019-01-24,드라마,Unable to get rating,"나를 세상에 태어나게 한""부모님을 고소하고 싶어요...""-출생기록조차 없이 살아온 어쩌면 12살 소년 '자인'으로부터","dogmess
2019-04-08 23:57:36
9
아이의 눈빛이 모든걸 말해주고 보여주는 영화는 처음인듯.
신고",http://www.cine21.com/movie/info/?movie_id=52748
가버나움,개봉일 : 2019-01-24,드라마,Unable to get rating,"나를 세상에 태어나게 한""부모님을 고소하고 싶어요...""-출생기록조차 없이 살아온 어쩌면 12살 소년 '자인'으로부터","thrill5
2019-01-29 21:19:44
10
자식들은 부모의 애정과 보살핌 속에서 성장해야 한다. 당연한 말이지만 이

당연함에 대해 수긍하지 못하고 자신의 자식들을 그저 순간적인 성욕

때문에 대책 없이 출산을 하고 자식을 인격체가 아닌 자신의 체면을 위한

장신구로 여기거나 심지어 인신매매를 하는 몹쓸 인간들이 이 지구상에는

넘쳐난다.

‘가버나움’은 이런 부모를 고발하는, 심지어 출생신고서도 없어 의사가

치아상태를 보고 나이를 추정하는 지경까지 이른 자인(자인 알 라피아)의

지옥도를 사는 생존기다. 작품의 도입부에 자인은 법정에 피의자로 나와

자신을 태어나게 했다는 혐의로 부모를 고발하고 싶다는 도발적인 선언을

한다.

자인이 고발하는 부모들의 혐의는 상당히 많다. 법정 장면 이후 자인이 이

몹쓸 부모들 밑에서 살아온 과정을 보여주는 작품을 보다보면 인간된

도리로 부모들은 그 자격자체가 없는 이들이다. 자인을 비롯한 일곱 명의

자녀가 있는 셀림(파디 유세프)과 수아르(카우사르 알 하다드)는 특정한

생계 수단이 없이 소득 안정성이 떨어지는 상황인데도 일자리를 구하려는

시도조차 하지 않는다. 자인을 비롯한 아이들 출생신고를 제 때 하지 않아

이 아이들은 그 어떠한 국가가 마련해 놓은 사회 안전망에 들어올 수 없으며

특히나 의료, 보건의 경우 목숨이 오고 가는 과정에 놓여도 어떠한 치료도

받을 수 없다.

기초교육인 초등교육조차도 받지 못하는 아이들은 문맹이 되고 무능력한

부모 밑에 있다는 불행 탓에 길거리에서 온갖 짓을 다해야 한다. 자신들이

만든 주스를 팔거나 점포에 들어가 물건을 슬쩍 한다거나 12살이라는

나이가 무색하게 냉혹하고 잔인한 세계에서 사는 생존법을 자인을 터득한

것이다.

이런 직무유기도 끔찍한 데 셀림과 수아르는 자신들의 딸이자 자인의

여동생 사하르(하이타 아이잠)를 자인이 일했던 가게의 주인에게 말이

시집이지 팔려고 한다. 자인은 부모들을 향해 필사적인 저항을 해보지만

12살의 나이로 부모들의 완력을 제압하긴 힘들다.

자신의 딸을 시집이 아닌 인신매매로 보내는 광경은 21세기라는 진보와

번영의 시기에 대한 설득력을 떨어뜨리며 레바논 또한 전 세계에 존재하는

지옥 중 한 곳이라는 점이 명백해 진다.

여동생 사하르를 그렇게 잃은 자인은 한 놀이공원으로 가서 거기서 일하는

라힐(요르다노스 시프로우)을 만나고 그녀의 아들

요나스(보루와티프 프레저 반콜)가 같이 사는 집에서 얹혀살게 된다.

자인이 얹혀살면서 지켜야 할 약속은 요나스를 잘 돌보는 것이다. 자인이

라힐과 만나면서 작품은 레바논에서도 아프리카 외노자들 중 특히

여성들의 불리하고 일상이 매 순간 위기를 맞이하는 처지를 드러낸다.

약자의 처지를 악용하는 양상은 자인의 몹쓸 부모들이 자신의 11살 된

친딸을 서른이 넘은 성인 남성에게 인신매매하는 것도 모자라 이런

외노자들을 돈벌이로 악용하는 브로커들의 몹쓸 짓까지 담아내며 이런

세상에 사는 열두 살에 불과한 자인이 입만 열면 욕을 할 수 밖에 없고

매일을 전투하듯이 살아야 하는 입장이 될 수밖에 없는 것이다.

결국 요나스를 브로커에게 넘기고 집에 돌아온 자인은 자신의 여동생이

죽은 걸 알고 복수를 감행하고 작품 도입부에 재판정에 서게 되는 사건을

일으킨다. 한국의 열두 살은 한창 부모들의 품안에서 철부지로서 세상

물정을 몰라도 되는 나이지만 자인은 이미 자신을 지옥에서 어떻게 하면

사는지를 처절하게 깨달은 아이인데다가 부모들의 정신 나간 짓을 보고

자람으로써 혈연이라는 인연이 누구에게나 보편타당하게 따뜻함과

보살핌을 보장해 주지 않는다는 걸 제시한다.

미국의 야욕이 투영되고 이에 대해 평화적인 저항이 아닌 종교를 내세워

일상을 매우 불안하게 하는 중동이라는 지정학적 화약고에서 ‘가버나움’은

전쟁의 포화 없이도 이미 인권이 말살된 지옥도가 존재하는 레바논을

비추며 인간의 근본적인 악에 대해서 여과 없는 지옥의 현실을 보여줬다.

비전문 배우임에도 자인 역의 자인 알 라피아는 자신의 삶과 작품에서의

연기를 연계해 삶에 지친 한 인간의 고통을 잘 표현해 냈으며 이 작품이

그저 영화로만 끝난 것이 아니라 시리아 난민 출신인 자인이 노르웨이로

이주해 사는 데까지 도움을 줬다는 데 엄청난 의의가 있다고 할 수 있을

것이다.

작품은 여러모로 다시금 중동이라는 지역의 일상에 대해서 생각하고

무너진 인권의 재건을 촉구하는 강력한 고발의 효과도 발휘한다.
more
신고",http://www.cine21.com/movie/info/?movie_id=52748
가버나움,개봉일 : 2019-01-24,드라마,Unable to get rating,"나를 세상에 태어나게 한""부모님을 고소하고 싶어요...""-출생기록조차 없이 살아온 어쩌면 12살 소년 '자인'으로부터","penny2003
2019-01-27 22:47:11
8
이 영화를 보니 지금 현실에 감사하며 살아야 한다고 느꼈다.
신고",http://www.cine21.com/movie/info/?movie_id=52748
가장 보통의 연애,개봉일 : 2019-10-02,멜로·로맨스,Unable to get rating,"전 여친에 상처받은 ‘재훈’(김래원).여느 때처럼 숙취로 시작한 아침,모르는 번호의 누군가와 밤새 2시간이나 통화한 기록을 발견하게 되고그 상대가 바로! 통성명한 지 24시간도 채 되지 않은 직장 동료 ‘선영’임을 알게 된다.남친과 뒤끝 있는 이별 중인 ‘선영’(공효진).새로운 회사로 출근한 첫날, 할 말 못 할 말 쏟아내며 남친과 헤어지던 현장에서하필이면! 같은 직장의 ‘재훈’을 마주친다.만난 지 하루 만에 일보다 서로의 연애사를 더 잘 알게 된 두 사람.하지만 미묘한 긴장과 어색함도 잠시‘한심하다’, ‘어이없다’ 부딪히면서도 마음이 쓰이는 건 왜 그럴까?","hwachul92
2019-11-25 19:18:13
6
전 여친의 결별로 인하여 상처 받은 남자와 사랑을 아예 믿지 않는 여자와의 만남에서 벌어지는 로맨틱코미디영화였지만 모태솔로의 입장에서 공감도가 낮은 영화였습니다! 내용 전개는 그리 나쁘지는 않았지만, 나름대로 볼만했습니다! 로맨틱코미디도 개연성과 공감도를 함께 가질 수 있을만한 영화가 되면 좋겠으니, 별 3개 드립니다!!
more
신고",http://www.cine21.com/movie/info/?movie_id=54181
